feature_01,feature_02,feature_03,feature_04,feature_05,feature_06,feature_07,feature_08,feature_09,feature_10,feature_11,feature_12,label
0.3061039,-1.6474509,-0.49420735,-0.6130734,-0.68585265,1.3817075,-0.16493778,1.2884443,0.061704636,0.037227836,-0.088796444,0.0037962517,1
0.57658535,1.020537,1.0181907,1.2018801,1.2769809,-1.0012914,1.6835862,-0.53097653,1.0448728,0.06798662,-0.41214937,-1.8076968,1
1.3168229,0.57117796,0.53076416,0.47375312,-0.059282646,-0.7292869,-0.41447306,0.63391036,0.0029932912,0.34021,0.67007923,-0.37484145,1
1.2706462,0.28077468,-1.9720403,0.28304684,-1.1720072,-0.51827985,1.5112284,0.6375338,-0.69893044,-1.0137174,0.032782093,-1.2165601,0
0.35018456,0.28941268,-0.55964833,-0.30291614,0.54842794,0.18797359,-1.4481273,-0.06798026,0.26203582,-0.8996948,0.18984339,-1.4548225,0
-0.4839693,0.6772412,0.067509346,-0.5092925,0.36875078,-0.95888263,0.8784503,-0.049925912,-0.18486236,-0.68092954,1.2225413,-0.15452948,0
-0.034589596,-1.0275389,0.8744472,-0.27758753,-0.6366153,0.5411316,0.76292646,0.44809937,-1.6855973,0.53803444,-1.0343081,0.23527612,0
0.14800742,0.6941044,0.673204,-1.489429,-0.48124114,1.4377769,-1.1620795,-2.1166544,-1.8618451,0.029109947,0.030917278,-0.11761086,1
-1.8726996,-1.4472468,-0.00022577327,-0.55547905,-0.37816256,1.2992283,-0.35626397,0.73751557,-0.93361765,-0.20543756,-0.95002204,-0.33903307,0
-0.45787334,-1.2873982,-0.9944003,-1.1305366,-0.8881339,-0.3580167,0.803585,1.7207699,-1.3821815,0.39282748,-1.0405439,0.47469708,0
2.4550602,0.48557648,2.153691,-0.44329864,0.13105783,0.36547446,3.1788538,0.8512856,-0.70726454,0.9689979,-0.36183253,-0.48975018,1
0.306794,0.39182007,0.1541165,2.677653,-0.20516169,-2.0035224,1.6042544,-0.45769942,0.10788044,1.3095506,-1.6022595,-1.2516472,0
-0.68108666,-2.2809057,0.528297,-0.2550007,-0.53390026,-1.0697525,-0.6542833,0.42789045,-0.18924434,0.328662,0.36192185,1.3206617,0
0.7560018,-0.2306175,-0.8109272,1.4562887,0.42875645,1.535756,0.18323444,-1.2244691,-1.3681592,1.6509279,1.7236657,-0.1795192,0
0.7937525,0.29875237,0.83259445,-0.28808352,0.11039572,-0.40833315,-1.3981097,-1.5436252,0.6532449,-0.27670008,-0.5960889,0.008505627,1
1.6836805,0.088729575,0.7520345,-1.3386271,0.45031726,0.00310855,-0.7498133,-0.23582937,-0.18417574,-0.27015513,1.7713412,-0.098446004,1
-1.9516999,-1.2539929,-0.4330367,-0.9077289,-0.4083886,0.03858112,-0.31174633,1.0493397,-0.6760173,-0.862318,0.47887555,-1.535642,1
1.5493363,0.5474134,1.195778,-0.79715765,-0.049558837,-0.11549888,-0.8360571,0.66208154,0.650249,0.5935547,1.5369656,1.4493448,1
1.3062482,0.8288426,-0.83481306,1.0923048,-0.50074476,-1.6550953,-1.0450437,-1.0210452,0.05217332,-0.2738505,-0.33683196,0.619702,1
-2.2419627,-0.46756282,-1.3024231,0.0076590613,-0.08158777,-1.7056522,-1.6156583,0.48206684,-0.52271867,-2.5647442,0.78484404,0.27236974,0
0.29030815,-2.1773205,0.03442364,0.5877356,-0.59414995,-1.4460578,0.07212951,-0.52949274,0.23267621,0.021852145,1.6017789,-0.23935562,0
-1.2638748,-1.7668302,0.43580788,0.6993506,2.3826022,0.4201886,0.38770315,-0.16692793,0.81677586,0.6250852,1.251725,-0.5213229,0
-0.21197446,0.5986271,0.7662096,0.06747196,-1.3204889,0.8546857,-0.80021167,0.6328579,-0.010638677,-1.3763875,-0.3161977,0.36536375,1
2.1668744,0.5810271,-0.602344,-0.45972747,-0.035610735,-1.3647417,-0.25583208,-0.7421921,0.9243578,0.034611873,-0.28279576,-0.10618193,1
0.049638923,0.9351611,-0.12791763,-0.35139266,0.9861363,-0.5577713,0.80567867,0.67740136,-0.95479184,0.9738941,0.6985663,0.10192589,1
-0.21232346,-0.40920603,-0.13766257,0.19259447,-0.9556252,0.43751225,-1.2417555,-0.20406859,0.10964775,2.44513,-1.3773156,1.4720145,1
0.7861861,0.79794997,-0.6525173,0.71345437,-2.409922,-1.1563476,-0.29377893,-1.0721331,0.7143965,1.9972966,-1.1766148,-0.8374634,0
-2.236468,-1.2762295,-0.1523341,0.17077337,-0.25337756,-0.15918487,0.20338824,-1.0085361,0.70684963,0.66266596,0.38503793,0.55653346,0
-1.3130572,-1.5624114,0.79114294,0.6127492,0.4801434,-1.744586,0.9274385,0.45442033,-1.1104307,-0.4715248,0.2637172,0.0524668,0
0.17378789,-0.05710528,-0.0103399735,-0.60396266,-0.37780654,0.91631144,-1.7332091,0.86200005,-0.37968653,0.3769478,-1.1269879,1.328631,1
-0.6008645,0.36212325,1.3402895,0.5159686,0.21160974,0.88639396,0.4907667,1.2003063,0.28935915,-0.35569832,0.33584127,-2.9305944,1
-0.31455162,1.1611161,-1.6223743,0.5990361,1.8212988,-1.6517591,-1.2810692,-0.4236066,-0.5205884,0.81260127,0.24165972,-1.7749621,0
